# Source ADC	Temp 100.0 mK	PDUT -80.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1944	PSG 4.5	PRF -4.0
# AttVDUT 12006210005 30.5 dB	AttVIQ 12201130093 26.75 dB
# LOAtt 4.5 dB	InAtt 12.0 dB	OutAtt 7.1 dB
# LNA 30.0 dB	RTA 80.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.013 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 10.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
1.9403476e+09	9.2653227e-02	-6.9882731e-01
1.9403482e+09	9.2498816e-02	-6.9889391e-01
1.9403488e+09	9.2159171e-02	-6.9880126e-01
1.9403494e+09	9.2259392e-02	-6.9916171e-01
1.9403500e+09	9.2169975e-02	-6.9904859e-01
1.9403506e+09	9.1661252e-02	-6.9912993e-01
1.9403512e+09	9.1015215e-02	-6.9894098e-01
1.9403518e+09	9.1146225e-02	-6.9917845e-01
1.9403524e+09	9.1091208e-02	-6.9917518e-01
1.9403530e+09	9.0841721e-02	-6.9927528e-01
1.9403536e+09	9.0193257e-02	-6.9913133e-01
1.9403542e+09	9.0238802e-02	-6.9909764e-01
1.9403548e+09	8.9779251e-02	-6.9888799e-01
1.9403554e+09	8.9815571e-02	-6.9920884e-01
1.9403560e+09	8.9146494e-02	-6.9915385e-01
1.9403566e+09	8.8748763e-02	-6.9918581e-01
1.9403572e+09	8.9144964e-02	-6.9902293e-01
1.9403578e+09	8.8449323e-02	-6.9914548e-01
1.9403584e+09	8.8524578e-02	-6.9915147e-01
1.9403590e+09	8.8078883e-02	-6.9929131e-01
1.9403596e+09	8.8142063e-02	-6.9920918e-01
1.9403602e+09	8.7646784e-02	-6.9930088e-01
1.9403608e+09	8.7768976e-02	-6.9942762e-01
1.9403614e+09	8.7205053e-02	-6.9927900e-01
1.9403620e+09	8.7146203e-02	-6.9950042e-01
1.9403626e+09	8.7002535e-02	-6.9936197e-01
1.9403632e+09	8.6142839e-02	-6.9919042e-01
1.9403638e+09	8.6308252e-02	-6.9928010e-01
1.9403644e+09	8.6160046e-02	-6.9952815e-01
1.9403650e+09	8.5594159e-02	-6.9919597e-01
1.9403656e+09	8.5512185e-02	-6.9946557e-01
1.9403662e+09	8.5189934e-02	-6.9927038e-01
1.9403668e+09	8.5050928e-02	-6.9929418e-01
1.9403674e+09	8.4974263e-02	-6.9964573e-01
1.9403680e+09	8.4513426e-02	-6.9946907e-01
1.9403686e+09	8.4380285e-02	-6.9942070e-01
1.9403692e+09	8.4281025e-02	-6.9956093e-01
1.9403698e+09	8.4154796e-02	-6.9956939e-01
1.9403704e+09	8.3712430e-02	-6.9957088e-01
1.9403710e+09	8.3402497e-02	-6.9948419e-01
1.9403716e+09	8.3147979e-02	-6.9979660e-01
1.9403722e+09	8.2876387e-02	-6.9948328e-01
1.9403728e+09	8.2858634e-02	-6.9928870e-01
